released,colour,year,age,sex,employed,citizen,checks
Yes,White,1999,19,Male,Yes,Yes,0
No,Black,2000,19,Male,Yes,Yes,4
Yes,Black,1997,30,Female,Yes,Yes,2
Yes,White,1998,15,Female,Yes,Yes,0
Yes,White,2000,16,Female,Yes,Yes,1
Yes,Black,2000,17,Male,Yes,Yes,1
Yes,White,1999,23,Female,Yes,Yes,0
No,Black,2000,18,Male,No,Yes,3
Yes,White,2001,16,Female,Yes,Yes,0
No,Black,2000,22,Male,No,Yes,5
Yes,White,1998,40,Male,No,Yes,3
No,White,1997,44,Male,Yes,No,0
Yes,White,1998,16,Male,Yes,Yes,0
Yes,White,1998,14,Male,Yes,Yes,0
Yes,Black,1999,18,Male,Yes,Yes,4
Yes,White,1999,30,Male,Yes,Yes,2
No,White,1999,22,Male,No,Yes,5
Yes,Black,2001,29,Male,No,No,2
No,White,1998,15,Male,Yes,Yes,0
Yes,White,2001,22,Male,Yes,Yes,3
Yes,White,2001,33,Male,Yes,Yes,2
Yes,White,2001,22,Male,Yes,Yes,0
Yes,Black,2001,22,Male,Yes,Yes,4
Yes,White,2001,44,Male,Yes,Yes,2
Yes,White,1999,19,Male,Yes,Yes,4
Yes,Black,1998,24,Male,No,Yes,3
Yes,White,2001,15,Male,Yes,Yes,0
No,White,1997,17,Male,No,No,4
Yes,White,1999,22,Male,Yes,Yes,0
Yes,Black,2001,48,Male,Yes,Yes,3
Yes,White,2001,15,Male,Yes,Yes,0
No,White,2001,20,Male,Yes,Yes,0
Yes,White,1997,21,Male,Yes,Yes,3
Yes,White,1999,33,Male,Yes,Yes,0
Yes,White,1999,22,Male,Yes,Yes,2
No,White,2001,25,Male,Yes,No,2
Yes,White,2001,21,Male,Yes,Yes,0
Yes,White,2001,22,Male,Yes,Yes,0
Yes,White,2001,27,Male,Yes,Yes,0
Yes,White,2002,17,Male,Yes,Yes,1
Yes,White,2001,17,Male,Yes,Yes,2
Yes,White,2001,18,Male,Yes,Yes,3
No,White,1999,17,Male,Yes,Yes,2
No,White,2000,20,Male,No,Yes,4
Yes,White,1999,21,Male,Yes,Yes,0
Yes,White,1997,17,Male,Yes,Yes,0
Yes,Black,2000,30,Male,Yes,Yes,1
Yes,White,2001,36,Female,No,Yes,3
Yes,White,1999,16,Male,Yes,Yes,2
No,White,1997,19,Male,Yes,No,0
Yes,White,2000,19,Male,Yes,Yes,0
Yes,White,2001,40,Male,Yes,Yes,3
Yes,White,2000,23,Male,Yes,Yes,0
Yes,Black,2000,19,Male,Yes,Yes,3
Yes,White,1998,21,Male,Yes,Yes,0
Yes,Black,1998,38,Male,Yes,Yes,3
Yes,Black,2000,25,Male,Yes,Yes,0
Yes,White,1999,19,Male,Yes,Yes,4
Yes,White,2000,17,Female,Yes,Yes,0
Yes,White,1999,24,Male,Yes,Yes,1
Yes,White,1999,15,Male,Yes,Yes,0
Yes,White,1998,22,Male,Yes,Yes,3
Yes,Black,2001,20,Male,Yes,Yes,1
No,Black,1999,29,Female,No,No,4
No,Black,2001,22,Male,Yes,Yes,3
Yes,White,2001,38,Female,No,Yes,3
Yes,White,1999,17,Female,Yes,Yes,0
Yes,White,2000,18,Female,Yes,Yes,0
Yes,White,1997,21,Male,Yes,No,3
No,White,2001,21,Male,Yes,No,4
Yes,White,1999,31,Male,Yes,Yes,1
Yes,Black,2001,20,Male,Yes,Yes,1
Yes,White,1999,18,Male,Yes,Yes,0
Yes,White,1997,24,Male,No,No,0
Yes,Black,2001,18,Male,Yes,Yes,2
Yes,Black,2001,35,Male,Yes,Yes,2
Yes,White,1999,21,Male,Yes,Yes,1
Yes,White,2000,20,Male,Yes,Yes,1
Yes,White,1999,17,Male,Yes,Yes,2
Yes,Black,2000,24,Female,Yes,Yes,0
Yes,White,1998,41,Male,Yes,Yes,2
Yes,White,1999,15,Male,Yes,Yes,1
No,Black,2000,19,Male,Yes,Yes,3
Yes,Black,2000,15,Male,Yes,Yes,2
Yes,White,2000,26,Male,Yes,Yes,0
Yes,White,1998,23,Male,Yes,Yes,0
Yes,White,1998,28,Male,Yes,Yes,1
No,White,2002,17,Male,No,Yes,0
No,White,1999,39,Male,No,Yes,4
Yes,White,1999,26,Male,Yes,Yes,4
Yes,White,2002,19,Male,Yes,Yes,1
Yes,White,2001,18,Male,Yes,Yes,0
Yes,White,1998,18,Male,Yes,Yes,0
Yes,White,1999,19,Male,Yes,No,0
Yes,White,2000,18,Female,Yes,Yes,0
Yes,White,1999,19,Male,Yes,Yes,3
Yes,White,1999,20,Male,No,Yes,4
Yes,White,2001,19,Male,Yes,Yes,2
No,Black,1997,21,Male,No,No,2
No,Black,1997,21,Male,No,No,2
No,Black,1998,18,Male,No,Yes,3
Yes,White,1998,20,Male,Yes,Yes,3
Yes,White,2000,31,Male,Yes,Yes,3
Yes,White,1997,18,Male,Yes,No,4
Yes,White,1997,21,Male,No,No,4
No,White,2001,37,Male,Yes,No,0
Yes,White,1999,20,Male,No,Yes,3
Yes,Black,2001,34,Male,Yes,Yes,2
Yes,White,1999,22,Male,Yes,Yes,0
Yes,White,1999,15,Male,Yes,Yes,4
No,White,1999,24,Male,Yes,Yes,3
No,White,1999,32,Male,Yes,Yes,4
Yes,White,2000,22,Male,Yes,Yes,1
Yes,White,1997,14,Female,Yes,Yes,1
Yes,White,2000,17,Male,Yes,Yes,5
Yes,Black,1998,27,Male,Yes,No,0
Yes,White,2002,24,Male,Yes,Yes,1
Yes,Black,2000,31,Male,Yes,Yes,0
Yes,White,1998,20,Male,No,Yes,1
Yes,White,2001,16,Male,Yes,Yes,0
Yes,White,2001,21,Male,Yes,Yes,1
Yes,White,2000,22,Male,Yes,Yes,1
Yes,White,2001,12,Male,Yes,Yes,0
Yes,White,1999,22,Male,Yes,Yes,0
Yes,White,1999,23,Male,Yes,Yes,0
No,White,1999,21,Male,No,Yes,1
No,Black,2001,15,Male,Yes,Yes,5
Yes,Black,2001,20,Male,No,Yes,3
Yes,White,2000,16,Male,Yes,Yes,0
Yes,White,1999,24,Male,Yes,No,0
Yes,Black,1997,18,Male,Yes,No,4
No,White,1999,37,Female,No,Yes,2
Yes,White,2000,17,Male,Yes,Yes,1
Yes,White,1998,21,Male,Yes,Yes,2
Yes,Black,2000,22,Male,Yes,Yes,3
No,White,1997,17,Male,No,Yes,2
Yes,Black,2001,21,Male,Yes,No,0
Yes,White,1998,20,Male,Yes,Yes,0
Yes,White,1999,17,Male,Yes,Yes,2
Yes,White,1998,36,Female,Yes,Yes,4
Yes,White,2000,19,Male,Yes,Yes,0
Yes,Black,2001,17,Male,No,Yes,1
Yes,White,2001,18,Male,Yes,Yes,0
Yes,White,1998,24,Male,Yes,Yes,0
Yes,White,1999,23,Male,Yes,Yes,0
Yes,White,1999,23,Male,Yes,Yes,0
Yes,White,1997,24,Male,No,Yes,5
Yes,White,1998,18,Male,Yes,Yes,1
Yes,White,1998,22,Male,Yes,Yes,3
Yes,White,1999,23,Male,Yes,Yes,4
Yes,White,2000,24,Male,Yes,Yes,0
Yes,White,2000,35,Male,Yes,Yes,3
Yes,Black,2000,24,Female,Yes,Yes,2
Yes,White,1998,26,Male,Yes,Yes,3
Yes,White,2001,25,Male,Yes,Yes,0
Yes,White,1999,25,Male,Yes,Yes,1
Yes,Black,2001,19,Male,No,Yes,5
Yes,White,2001,21,Male,No,Yes,1
No,White,1998,15,Male,Yes,Yes,3
Yes,White,1997,16,Male,Yes,No,0
Yes,White,2001,15,Male,Yes,Yes,0
Yes,Black,2002,24,Male,Yes,Yes,1
Yes,White,1997,40,Male,Yes,No,0
Yes,Black,1997,29,Male,Yes,No,4
Yes,White,2000,19,Male,Yes,Yes,2
Yes,White,1999,24,Male,Yes,Yes,3
Yes,White,2001,17,Male,Yes,Yes,0
Yes,Black,2000,27,Male,Yes,No,3
Yes,White,1998,28,Male,Yes,Yes,4
Yes,White,1999,19,Female,Yes,Yes,0
Yes,Black,1998,24,Male,Yes,Yes,3
Yes,White,2000,22,Male,No,Yes,2
Yes,White,1999,20,Male,Yes,Yes,0
Yes,White,2001,36,Male,Yes,Yes,1
No,Black,1997,43,Male,No,No,0
Yes,White,2000,18,Male,Yes,Yes,2
Yes,Black,1998,26,Male,Yes,Yes,3
Yes,White,2000,16,Female,Yes,Yes,0
Yes,White,2000,26,Male,Yes,Yes,1
No,White,2000,17,Male,No,Yes,4
Yes,Black,1999,21,Male,Yes,No,0
Yes,White,2000,17,Male,Yes,Yes,3
Yes,Black,2001,37,Male,Yes,Yes,0
Yes,White,1999,32,Male,Yes,Yes,0
No,White,2000,42,Male,Yes,Yes,3
Yes,White,2001,18,Male,Yes,Yes,2
Yes,White,2000,15,Female,Yes,Yes,0
Yes,Black,1998,17,Male,Yes,Yes,0
Yes,White,1999,34,Male,No,Yes,0
Yes,White,2001,19,Male,Yes,Yes,3
Yes,White,2001,23,Male,Yes,Yes,0
Yes,White,2000,20,Male,Yes,Yes,2
Yes,White,2001,16,Male,Yes,Yes,0
Yes,Black,2000,38,Male,Yes,Yes,2
Yes,White,2000,44,Male,Yes,Yes,3
Yes,White,1999,14,Male,Yes,Yes,0
Yes,White,1998,19,Male,Yes,Yes,3
Yes,White,2001,15,Male,Yes,Yes,0
No,White,1999,19,Male,Yes,Yes,0
Yes,White,2000,19,Male,Yes,Yes,1
Yes,White,2000,28,Male,Yes,Yes,3
Yes,Black,2000,22,Male,Yes,Yes,1
Yes,White,1998,14,Male,Yes,Yes,2
Yes,White,1998,20,Male,Yes,Yes,0
Yes,White,1998,17,Male,Yes,Yes,3
Yes,White,2002,23,Male,Yes,Yes,1
Yes,White,2001,22,Male,Yes,Yes,0
Yes,White,1999,18,Male,Yes,Yes,3
Yes,White,1999,23,Male,Yes,Yes,3
No,Black,2000,23,Male,Yes,Yes,0
Yes,Black,2001,31,Female,Yes,Yes,0
Yes,White,1998,22,Male,Yes,Yes,3
Yes,Black,1999,14,Male,Yes,Yes,0
No,White,1999,19,Female,Yes,Yes,0
Yes,Black,1997,22,Male,Yes,No,4
Yes,White,1998,26,Male,Yes,Yes,0
Yes,White,1999,21,Female,No,Yes,0
No,Black,1999,37,Male,Yes,No,2
Yes,White,2001,29,Male,Yes,Yes,2
Yes,White,2001,17,Male,Yes,Yes,1
Yes,White,2000,19,Male,Yes,Yes,0
Yes,White,2001,19,Male,Yes,Yes,3
Yes,Black,2001,18,Male,No,Yes,3
Yes,White,1998,18,Male,Yes,Yes,3
No,Black,2000,19,Male,Yes,Yes,4
Yes,Black,2000,17,Female,Yes,Yes,2
Yes,White,2001,34,Male,Yes,Yes,0
Yes,White,2000,19,Male,Yes,Yes,0
Yes,Black,1999,25,Male,Yes,Yes,1
Yes,White,2000,26,Male,Yes,Yes,0
Yes,White,1998,21,Male,No,Yes,3
Yes,Black,2001,24,Male,Yes,Yes,3
Yes,White,2001,25,Male,Yes,Yes,0
Yes,Black,2001,21,Male,Yes,Yes,2
Yes,Black,1999,22,Male,Yes,Yes,0
Yes,White,2000,19,Male,Yes,Yes,0
Yes,White,2002,16,Female,Yes,Yes,0
Yes,White,2000,18,Male,Yes,No,4
Yes,White,1997,14,Male,Yes,No,0
Yes,White,2000,19,Male,Yes,Yes,0
Yes,White,2000,19,Male,Yes,Yes,3
Yes,White,1999,17,Male,Yes,Yes,3
Yes,White,1999,18,Male,Yes,Yes,2
Yes,White,1999,32,Male,Yes,Yes,4
Yes,White,2002,16,Male,Yes,Yes,0
No,Black,1998,19,Male,No,Yes,4
Yes,White,2001,18,Male,Yes,Yes,2
Yes,White,2001,20,Male,Yes,Yes,2
No,White,1998,14,Male,Yes,Yes,1
Yes,White,2001,20,Male,Yes,Yes,0
No,White,2000,45,Male,Yes,Yes,4
Yes,White,1999,26,Male,Yes,Yes,2
Yes,White,2001,21,Male,Yes,Yes,0
Yes,White,1997,17,Male,Yes,Yes,0
Yes,White,1998,52,Male,Yes,Yes,4
Yes,White,2001,16,Male,Yes,Yes,0
Yes,White,1998,27,Male,Yes,Yes,0
Yes,White,1999,23,Male,Yes,Yes,0
No,Black,2002,29,Female,No,Yes,4
Yes,White,2000,20,Male,Yes,Yes,1
Yes,White,2001,19,Male,Yes,Yes,4
Yes,White,1997,21,Male,No,No,2
Yes,White,1997,18,Female,Yes,Yes,0
No,White,2001,40,Male,No,Yes,3
Yes,Black,1999,22,Male,Yes,Yes,4
Yes,White,2000,16,Male,Yes,Yes,1
Yes,White,2001,30,Male,Yes,Yes,2
Yes,Black,2001,41,Female,No,Yes,2
Yes,White,1998,33,Male,Yes,Yes,3
Yes,White,1999,21,Male,Yes,No,1
Yes,Black,2002,22,Male,No,Yes,1
No,White,2000,24,Male,Yes,Yes,1
No,Black,1998,16,Male,Yes,No,1
Yes,White,1999,43,Male,No,Yes,2
No,Black,2001,23,Male,No,Yes,2
Yes,White,1998,24,Male,Yes,Yes,2
Yes,White,2001,35,Male,Yes,Yes,2
Yes,White,1998,23,Male,Yes,Yes,0
Yes,Black,1998,29,Male,Yes,Yes,4
Yes,White,1999,21,Male,No,Yes,1
Yes,White,2000,19,Female,No,Yes,1
Yes,White,2001,19,Male,Yes,Yes,1
Yes,White,1998,22,Male,Yes,Yes,4
Yes,White,2001,21,Male,Yes,Yes,0
Yes,White,1997,18,Male,Yes,Yes,1
Yes,White,1998,21,Male,No,Yes,3
Yes,White,2001,22,Male,No,No,0
Yes,White,1998,32,Male,No,Yes,2
Yes,White,2000,18,Male,Yes,Yes,0
Yes,White,2000,33,Male,Yes,Yes,1
Yes,White,2000,22,Male,Yes,Yes,0
Yes,Black,2001,19,Male,Yes,Yes,4
Yes,Black,1999,36,Female,Yes,Yes,3
Yes,White,2001,19,Male,Yes,Yes,1
Yes,White,1997,34,Male,Yes,No,0
Yes,Black,1998,19,Male,Yes,Yes,4
Yes,White,2001,21,Male,No,Yes,1
Yes,White,2000,19,Male,Yes,Yes,0
Yes,White,2000,34,Male,Yes,Yes,1
Yes,White,1997,32,Male,Yes,Yes,2
Yes,White,1997,16,Male,No,No,0
Yes,White,2000,49,Male,Yes,Yes,3
Yes,White,2000,26,Male,No,Yes,3
Yes,White,2000,43,Male,Yes,Yes,0
No,Black,2002,20,Male,No,Yes,4
No,Black,1998,21,Male,No,No,4
Yes,White,2000,18,Male,Yes,Yes,0
Yes,White,1997,16,Male,No,No,0
Yes,Black,1998,21,Female,No,Yes,0
Yes,White,2000,16,Male,Yes,Yes,1
Yes,White,2001,31,Male,No,Yes,3
Yes,Black,2000,25,Male,Yes,Yes,1
No,Black,2001,20,Male,Yes,Yes,3
No,White,2000,41,Male,No,Yes,3
Yes,White,2000,15,Male,Yes,Yes,0
Yes,White,2001,22,Male,Yes,Yes,0
Yes,White,2000,16,Male,Yes,Yes,1
Yes,White,2000,25,Male,Yes,No,0
Yes,Black,2001,33,Male,No,Yes,5
No,White,2001,27,Male,No,Yes,4
Yes,White,1999,17,Male,Yes,Yes,0
No,White,2000,21,Male,No,Yes,4
Yes,White,1998,20,Male,Yes,Yes,0
No,White,2000,30,Male,No,Yes,1
Yes,White,1998,25,Male,Yes,Yes,0
No,White,2001,53,Male,Yes,Yes,4
No,White,1998,19,Male,Yes,Yes,3
No,White,1999,33,Female,No,Yes,1
Yes,White,2001,22,Male,Yes,Yes,2
Yes,White,2001,17,Female,Yes,Yes,1
Yes,White,1999,19,Male,Yes,Yes,0
Yes,White,1998,18,Male,Yes,Yes,0
Yes,White,1999,23,Male,No,Yes,4
Yes,White,2000,20,Male,Yes,Yes,0
Yes,White,2002,20,Male,Yes,Yes,2
Yes,White,2002,22,Male,Yes,Yes,3
No,Black,1998,28,Male,No,Yes,2
Yes,Black,2001,20,Male,Yes,Yes,2
Yes,White,2001,15,Male,Yes,Yes,1
Yes,White,2001,15,Male,Yes,Yes,0
Yes,White,2002,15,Male,Yes,Yes,0
Yes,Black,1999,23,Male,No,Yes,4
Yes,White,2000,41,Male,Yes,Yes,2
No,White,1999,34,Male,Yes,Yes,4
No,Black,1997,26,Male,Yes,No,4
Yes,White,2002,15,Male,Yes,Yes,0
No,White,1997,27,Male,No,No,4
No,White,2001,38,Male,Yes,Yes,4
Yes,Black,1998,21,Male,Yes,Yes,5
Yes,White,1999,17,Male,Yes,Yes,1
Yes,White,2000,19,Male,Yes,Yes,2
Yes,White,1997,17,Male,Yes,No,3
No,White,1997,18,Male,Yes,No,4
Yes,White,2001,20,Female,Yes,Yes,0
Yes,Black,1999,28,Male,Yes,Yes,2
Yes,White,2001,34,Male,Yes,Yes,1
Yes,White,2000,15,Male,Yes,Yes,0
Yes,White,1999,23,Male,Yes,Yes,4
Yes,White,2000,37,Male,Yes,Yes,0
Yes,White,1999,15,Female,Yes,Yes,0
Yes,White,2000,31,Male,Yes,Yes,0
Yes,White,1998,15,Male,Yes,Yes,0
Yes,White,2001,53,Male,Yes,Yes,1
Yes,White,1998,19,Male,No,Yes,3
Yes,White,1999,40,Male,Yes,Yes,3
Yes,White,1998,23,Male,Yes,No,0
Yes,White,1998,16,Male,Yes,Yes,4
Yes,White,2000,19,Female,Yes,Yes,0
Yes,White,1999,17,Male,Yes,Yes,0
Yes,White,2000,20,Male,Yes,Yes,0
No,White,1997,41,Male,Yes,No,1
Yes,White,2001,19,Male,Yes,Yes,3
Yes,White,1998,17,Male,Yes,Yes,0
Yes,White,2000,23,Male,Yes,Yes,1
Yes,White,1998,40,Male,No,Yes,3
Yes,White,2001,23,Male,Yes,No,3
Yes,White,2001,19,Male,Yes,Yes,0
No,Black,1998,23,Male,Yes,Yes,3
Yes,Black,1999,16,Male,Yes,No,2
Yes,White,2001,32,Male,Yes,Yes,0
No,White,1997,42,Male,Yes,Yes,4
No,White,2000,43,Male,Yes,Yes,1
Yes,White,2001,15,Male,Yes,Yes,0
Yes,Black,2000,17,Male,Yes,Yes,4
No,Black,2000,18,Male,Yes,Yes,2
Yes,White,2002,20,Male,Yes,Yes,2
Yes,White,2000,30,Male,Yes,Yes,0
Yes,White,1997,16,Male,Yes,No,1
No,Black,2001,26,Male,No,No,3
No,White,1999,21,Male,Yes,Yes,3
Yes,White,2002,27,Male,Yes,Yes,1
Yes,White,2000,17,Male,Yes,Yes,2
Yes,White,2002,43,Male,Yes,Yes,4
Yes,White,2000,20,Male,Yes,Yes,0
Yes,White,1997,17,Male,Yes,No,0
Yes,White,2000,16,Male,Yes,Yes,0
Yes,White,1999,47,Male,Yes,Yes,0
Yes,Black,1999,17,Male,Yes,Yes,0
Yes,Black,1999,18,Male,Yes,Yes,1
No,White,2001,54,Male,Yes,Yes,0
Yes,Black,1999,21,Male,No,No,0
Yes,White,1999,21,Male,Yes,Yes,2
Yes,White,2001,17,Male,Yes,Yes,0
Yes,Black,1999,18,Male,No,No,1
Yes,White,2000,19,Male,Yes,Yes,0
Yes,White,1999,21,Female,Yes,Yes,0
Yes,White,1998,20,Male,Yes,Yes,3
Yes,White,1998,21,Male,Yes,Yes,2
Yes,White,2000,14,Male,Yes,Yes,0
Yes,White,1999,25,Male,Yes,Yes,1
Yes,White,2000,19,Male,No,Yes,1
Yes,White,1998,17,Male,Yes,Yes,0
No,White,2001,21,Male,Yes,No,2
Yes,White,2001,36,Male,Yes,Yes,2
Yes,Black,2002,25,Male,Yes,Yes,1
Yes,White,1998,18,Female,Yes,Yes,0
Yes,White,1998,19,Male,Yes,Yes,0
Yes,White,1999,19,Male,Yes,Yes,4
Yes,Black,1999,31,Male,No,Yes,2
No,White,1997,37,Male,No,No,5
Yes,White,1997,32,Male,Yes,No,2
Yes,Black,2001,16,Male,Yes,Yes,0
Yes,White,1997,31,Male,No,No,0
Yes,Black,1999,22,Male,Yes,Yes,1
Yes,Black,2000,28,Male,Yes,Yes,0
Yes,White,2001,25,Male,Yes,Yes,0
No,Black,1998,25,Male,Yes,No,4
Yes,White,1998,49,Male,Yes,Yes,0
Yes,White,1997,44,Male,No,Yes,3
No,Black,2001,28,Male,Yes,Yes,4
Yes,White,1997,33,Male,No,Yes,4
Yes,White,1998,19,Male,Yes,Yes,2
Yes,Black,2001,32,Male,Yes,Yes,2
Yes,White,1997,16,Male,Yes,No,0
No,White,1997,28,Male,Yes,No,4
Yes,White,1998,16,Male,Yes,Yes,2
Yes,White,1999,16,Male,Yes,Yes,2
Yes,White,2000,18,Female,Yes,Yes,0
Yes,White,1999,26,Male,Yes,Yes,2
Yes,White,1997,20,Female,Yes,No,0
Yes,White,1999,22,Male,Yes,Yes,2
Yes,White,2000,18,Male,Yes,Yes,0
No,White,2000,15,Female,Yes,Yes,4
Yes,White,1999,18,Male,Yes,Yes,0
Yes,White,2000,23,Male,No,Yes,3
Yes,White,1998,21,Male,Yes,Yes,0
Yes,White,1999,24,Male,Yes,Yes,1
Yes,White,2001,39,Male,No,Yes,3
Yes,White,2000,31,Male,Yes,Yes,0
Yes,White,1999,34,Male,Yes,Yes,0
No,White,2002,19,Male,Yes,Yes,3
Yes,White,1997,21,Male,Yes,No,4
No,Black,2001,24,Male,No,Yes,3
Yes,Black,2001,39,Male,Yes,No,3
No,Black,2000,19,Male,No,Yes,3
Yes,Black,2000,34,Male,No,Yes,1
Yes,White,1999,22,Male,Yes,Yes,4
No,White,2001,48,Male,Yes,Yes,4
Yes,Black,2001,26,Male,No,Yes,3
Yes,White,2000,39,Male,Yes,Yes,0
No,White,2001,16,Male,Yes,Yes,3
Yes,White,1997,29,Male,Yes,Yes,1
Yes,White,2000,25,Male,Yes,Yes,3
Yes,White,2001,15,Male,Yes,Yes,1
Yes,White,2001,17,Male,Yes,Yes,1
Yes,Black,2000,21,Male,Yes,Yes,1
Yes,White,2000,20,Male,Yes,Yes,2
Yes,White,1998,14,Male,Yes,Yes,0
No,White,2000,18,Male,Yes,Yes,0
Yes,White,1999,18,Male,Yes,Yes,4
Yes,White,1997,18,Male,Yes,No,2
Yes,White,2000,18,Male,Yes,Yes,1
No,White,1999,19,Male,Yes,Yes,0
Yes,Black,1999,17,Male,Yes,Yes,1
Yes,White,1997,17,Male,Yes,No,0
Yes,Black,2000,31,Male,Yes,Yes,4
Yes,Black,2001,28,Male,Yes,Yes,1
No,White,1998,20,Male,Yes,No,0
Yes,White,2000,17,Male,Yes,Yes,1
Yes,Black,1999,20,Male,Yes,No,0
Yes,White,2001,15,Female,Yes,Yes,0
Yes,White,2001,23,Male,Yes,Yes,1
Yes,Black,2001,16,Male,Yes,Yes,3
No,White,2001,43,Male,Yes,Yes,3
Yes,White,2000,16,Female,Yes,Yes,0
No,Black,1998,22,Male,No,Yes,0
Yes,White,2001,27,Male,Yes,Yes,4
Yes,White,2001,17,Male,Yes,Yes,0
Yes,White,2001,16,Male,Yes,Yes,0
Yes,White,2001,33,Male,Yes,Yes,0
Yes,White,2000,39,Male,No,Yes,0
No,White,2000,27,Male,Yes,Yes,3
No,White,1998,16,Female,No,Yes,2
Yes,White,2000,30,Male,Yes,Yes,4
Yes,Black,1999,19,Male,Yes,Yes,3
Yes,White,1999,26,Male,No,Yes,3
Yes,White,2001,16,Male,Yes,Yes,0
Yes,White,1999,21,Male,No,Yes,4
Yes,White,2000,25,Male,No,No,1
Yes,White,2001,18,Male,Yes,Yes,4
Yes,White,2000,13,Male,No,Yes,4
Yes,White,2001,32,Female,No,Yes,3
No,White,2000,45,Male,Yes,Yes,3
Yes,White,2000,20,Male,Yes,Yes,3
Yes,White,2002,16,Male,Yes,Yes,0
Yes,Black,1998,32,Male,Yes,Yes,1
Yes,White,1998,17,Male,Yes,Yes,2
Yes,White,1999,46,Female,Yes,No,2
Yes,White,2001,20,Male,Yes,Yes,1
Yes,White,1998,22,Male,No,Yes,1
Yes,White,2001,21,Male,Yes,Yes,4
Yes,White,1997,27,Male,Yes,No,0
Yes,White,1999,18,Male,Yes,Yes,2
Yes,White,2001,18,Male,Yes,Yes,0
Yes,White,2000,45,Male,Yes,Yes,0
No,White,2000,16,Male,Yes,Yes,0
Yes,Black,2001,21,Male,No,Yes,3
Yes,White,1998,15,Male,Yes,Yes,2
Yes,White,2001,26,Male,Yes,Yes,0
No,Black,1998,17,Male,Yes,Yes,3
Yes,White,1999,19,Male,Yes,Yes,3
Yes,White,2000,18,Male,Yes,Yes,0
Yes,White,1999,37,Male,No,Yes,1
Yes,Black,1998,18,Male,Yes,Yes,2
Yes,Black,2002,25,Male,Yes,No,2
Yes,Black,1997,20,Male,Yes,No,0
Yes,White,1998,29,Female,Yes,Yes,0
Yes,Black,2001,23,Male,No,Yes,1
Yes,White,2000,20,Male,Yes,Yes,3
Yes,Black,2001,18,Male,Yes,Yes,3
Yes,Black,1997,14,Male,Yes,No,0
Yes,White,2000,28,Male,Yes,Yes,0
No,Black,2000,31,Male,Yes,No,0
